href,title_en,page_num,title_ru
https://shikimori.one/animes/2685-tsubasa-tokyo-revelations,Tsubasa: Tokyo Revelations,10,Хроника крыльев: Откровения Токио
https://shikimori.one/animes/57-beck,Beck,10,Бек 
https://shikimori.one/animes/z25537-fate-stay-night-movie-heaven-s-feel-i-presage-flower,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,10,Судьба/Ночь схватки: Прикосновение небес
https://shikimori.one/animes/y32937-kono-subarashii-sekai-ni-shukufuku-wo-2,Kono Subarashii Sekai ni Shukufuku wo! 2,11,Этот замечательный мир! 2
https://shikimori.one/animes/30346-doukyuusei-movie,Doukyuusei (Movie),11,Одноклассник
https://shikimori.one/animes/329-planetes,Planetes,11,Странники
https://shikimori.one/animes/z31240-re-zero-kara-hajimeru-isekai-seikatsu,Re:Zero kara Hajimeru Isekai Seikatsu,11,Re:Zero. Жизнь с нуля в альтернативном мире
https://shikimori.one/animes/4224-toradora,Toradora!,11,Торадора!
https://shikimori.one/animes/34036-detective-conan-episode-one-the-great-detective-turned-small,Detective Conan: Episode One - The Great Detective Turned Small,11,Детектив Конан: Первый эпизод
https://shikimori.one/animes/19363-gin-no-saji-2nd-season,Gin no Saji 2nd Season,11,Серебряная ложка 2
https://shikimori.one/animes/264-hajime-no-ippo-champion-road,Hajime no Ippo: Champion Road,11,Первый шаг: Путь чемпиона
https://shikimori.one/animes/z139-hunter-x-hunter-greed-island-final,Hunter x Hunter: Greed Island Final,11,Охотник х Охотник: Остров Жадности — Финал
https://shikimori.one/animes/43-koukaku-kidoutai,Koukaku Kidoutai,11,Призрак в доспехах
https://shikimori.one/animes/627-major-s1,Major S1,11,Мэйджор
https://shikimori.one/animes/30-neon-genesis-evangelion,Neon Genesis Evangelion,11,Евангелион нового поколения
https://shikimori.one/animes/6675-redline,Redline,11,Красная черта
https://shikimori.one/animes/35788-shokugeki-no-souma-san-no-sara,Shokugeki no Souma: San no Sara,11,Повар-боец Сома: Третье блюдо
https://shikimori.one/animes/36649-banana-fish,Banana Fish,11,Банановая рыба
https://shikimori.one/animes/39195-beastars,Beastars,11,Выдающиеся звери
https://shikimori.one/animes/11843-danshi-koukousei-no-nichijou,Danshi Koukousei no Nichijou,11,Повседневная жизнь старшеклассников
